Ignore,Year,Month,Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
195978,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,25-Aug-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,TRP EMPLOYEE EXPENSES,3000842,"63,735.58"
195979,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,25-Aug-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,2000028434,"37,910.88"
195980,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,OSCE PARLIAMENTARY ASSEMBLY,1001877,"222,492.08"
195981,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1171154,"51,345.58"
195982,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1171154,"8,985.48"
195983,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Other It (Maint),DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171160,"18,856.00"
195984,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Other It (Maint),DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171160,"3,452.00"
195985,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171160,"45,135.00"
195986,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Other It (Maint),DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171160,"20,819.00"
195987,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Other It (Maint),DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171160,"38,678.60"
195988,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171160,"66,351.50"
195989,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171160,"14,976.73"
195990,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171160,"28,410.27"
195991,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171160,"41,418.86"
195992,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171160,-0.01
195993,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Project Works>10K,DG CHANGE & DELIVERY,WESTBURY ESTATE SERVICES LIMITED,1171234,"3,762.20"
195994,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Project Works>10K,DG CHANGE & DELIVERY,WESTBURY ESTATE SERVICES LIMITED,1171234,"6,930.00"
195995,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,26-Aug-10,Project Works>10K,DG CHANGE & DELIVERY,WESTBURY ESTATE SERVICES LIMITED,1171234,"16,528.00"
195996,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"1,534,815.86"
195997,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"268,592.78"
195998,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"-1,534,815.86"
195999,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"-268,592.78"
196000,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"1,534,816.00"
196001,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"268,592.80"
196002,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"-1,534,816.00"
196003,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"-268,592.80"
196004,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"1,534,815.66"
196005,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"268,592.74"
196006,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"-1,534,815.66"
196007,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"-268,592.74"
196008,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1171253,"1,534,815.86"
196009,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1171253,"268,592.78"
196010,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,STERIA LTD,1171272,"756,394.00"
196011,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,STERIA LTD,1171272,"132,368.95"
196012,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000052,"481,882.00"
196013,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,27-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000052,"84,329.35"
196014,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,31-Aug-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD ECONOMIC FORUM,1171386,"90,000.00"
196015,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,31-Aug-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,FELTECH ELECTRONICS LTD,2000056,"300,000.00"
196016,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,31-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FELTECH ELECTRONICS LTD,2000056,"52,500.00"
196017,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,31-Aug-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,WRG CREATIVE COMMINICATIONS LIMITED,2000058,"1,916,987.00"
196018,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,31-Aug-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WRG CREATIVE COMMINICATIONS LIMITED,2000058,"335,472.73"
196019,2010,Aug,Foreign & Commonwealth Office,Foreign & Commonwealth Office,31-Aug-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,YOUTH AGENDA,700001552,"46,091.80"
196020,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1171395,"39,499.00"
196021,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000061,"391,992.93"
196022,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000061,"68,598.76"
196023,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000061,"-391,992.93"
196024,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000061,"-68,598.76"
196025,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,2000061,"333,611.00"
196026,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,2000061,"58,381.93"
196027,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,1-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,3007410,"284,053.60"
196028,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,2-Sep-10,IT/IS Consultancy,DG FINANCE,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1171463,"9,400.00"
196029,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,2-Sep-10,IT/IS Consultancy,DG FINANCE,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1171463,"12,250.00"
196030,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,2-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1171463,"3,788.75"
196031,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,2-Sep-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,COLLIERS,1171470,"49,250.00"
196032,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,3-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DTZ DEBENHAM TIE LEUNG,1171567,"25,446.84"
196033,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,3-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELECTORAL REFORM INTERNATIONAL SERVICES LTD,1171568,"25,225.85"
196034,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,6-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,TJD OTHER DEBTORS,100000374,"26,535.86"
196035,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,INTERNATIONAL CAPITAL TRADING,925150,"33,166.18"
196036,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002595,"1,191,890.79"
196037,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002596,"1,440,241.68"
196038,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002597,"730,149.92"
196039,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002598,"12,853,675.61"
196040,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002599,"5,923,510.18"
196041,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002600,"11,290,598.38"
196042,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002601,"11,171,476.57"
196043,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002602,"4,772,096.93"
196044,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002603,"22,848,414.22"
196045,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,UNITED NATIONS,1002604,"5,062,507.27"
196046,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNITED NATIONS,1002605,"59,162.52"
196047,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNITED NATIONS,1002605,"26,251.37"
196048,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Contract Fees,DG EUROPE AND GLOBALISATION,MORSON HUMAN RESOURCES LTD,1171741,"35,660.83"
196049,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Property Maintenance Overseas Non Residential,DG EUROPE AND GLOBALISATION,MORSON HUMAN RESOURCES LTD,1171741,"67,360.22"
196050,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Property Maintenance Overseas Non Residential,DG EUROPE AND GLOBALISATION,MORSON HUMAN RESOURCES LTD,1171741,"30,338.07"
196051,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,FELTECH ELECTRONICS LTD,2000068,"980,000.00"
196052,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,7-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FELTECH ELECTRONICS LTD,2000068,"171,500.00"
196053,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008462,"38,177.95"
196054,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ARTICLE 19,1171785,"62,821.54"
196055,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Customer Refund Account,NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1171791,"36,640.95"
196056,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,"113,130.70"
196057,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,16.82
196058,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,"19,797.87"
196059,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,2.94
196060,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,8-Sep-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1171811,0.01
196061,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,BRITISH INSTITUTE OF INTERNATIONAL & COMPARATIVE LAW,1171876,"78,111.00"
196062,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,9-Sep-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,UNIVERSAL CEMENT CONSTRUCTION,10003975,"42,101.37"
196063,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,COFFEY INTERNATIONAL DEVELOPMENT,1172008,"79,370.13"
196064,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,IT/IS Consultancy,DG CENTRAL GROUP,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1172030,"9,610.88"
196065,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,IT/IS Consultancy,DG CENTRAL GROUP,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1172030,"13,070.79"
196066,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,1172030,"3,969.29"
196067,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,MANTAPLAN LTD,1172034,"333,611.00"
196068,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,10-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MANTAPLAN LTD,1172034,"58,381.93"
196069,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1172070,"69,030.74"
196070,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1172070,"12,080.38"
196071,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,MARSHALL AID COMMERATION COMMISSION,1172102,"900,000.00"
196072,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,MARSHALL AID COMMERATION COMMISSION,1172102,"157,500.00"
196073,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,MARSHALL AID COMMERATION COMMISSION,1172102,"-900,000.00"
196074,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,MARSHALL AID COMMERATION COMMISSION,1172102,"-157,500.00"
196075,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,MARSHALL AID COMMERATION COMMISSION,1172102,"900,000.00"
196076,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,MRAG LTD,1172107,"34,673.75"
196077,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MRAG LTD,1172107,"6,067.91"
196078,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,FM Interserve Works,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1172158,"30,615.16"
196079,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,FM Interserve Works,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1172158,962.4
196080,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,FM Interserve Works,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1172158,"4,592.27"
196081,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,FM Interserve Works,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1172158,144.36
196082,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,FELTECH ELECTRONICS LTD,2000078,"1,280,000.00"
196083,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FELTECH ELECTRONICS LTD,2000078,"224,000.00"
196084,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-Sep-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,2004914,"29,103.16"
196085,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,"2,925.23"
196086,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,579.36
196087,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,419.72
196088,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,"3,389.48"
196089,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,287.48
196090,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,57.36
196091,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,290.48
196092,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,"5,824.14"
196093,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,"4,156.75"
196094,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,"1,456.04"
196095,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,871.39
196096,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Rematching / Reinstatement,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,616.14
196097,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9664,"4,505.97"
196098,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,"2,317.54"
196099,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Maintenance B and Ce,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,238.31
196100,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,833.05
196101,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,213.41
196102,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,"9,380.51"
196103,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,384.44
196104,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,105.94
196105,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,479.29
196106,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,"6,372.36"
196107,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,"4,993.12"
196108,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,"1,593.09"
196109,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,137.99
196110,2010,Sep,Foreign & Commonwealth Office,Foreign & Commonwealth Office,15-Sep-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9665,"10,751.05"
