Country-code,Major area (UN),"Region (GR)
(UN)",Sort Bureau,Bureu/operation (UNHCR),COUNTRY,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"Internally Displaced Persons (IDPs) protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons,Others helped by UNHCR,Total population of concern
FRA,Europe,Western Europe,4,RBE,France,"160,017",0,"160,017",0,"33,703",0,0,0,"1,006",0,"194,726"
GAB,Africa,Central Africa and Great Lakes,1,CA-GL,Gabon,"9,001",0,"9,001","9,001","4,306",0,0,0,0,0,"13,307"
GAM,Africa,West Africa,1,WA,Gambia,"14,836",0,"14,836","8,961",0,0,0,0,0,0,"14,836"
GEO,Asia,Eastern Europe,4,RBE,Georgia,996,0,996,996,19,0,"293,048","102,800","1,544",0,"398,407"
GFR,Europe,Western Europe,4,RBE,Germany,"582,735",0,"582,735",0,"33,295",0,0,0,"9,322","22,500","647,852"
GHA,Africa,West Africa,1,WA,Ghana,"18,206",0,"18,206","18,206",490,0,0,0,0,0,"18,696"
GRE,Europe,Western Europe,4,RBE,Greece,"2,164",0,"2,164",0,"38,061",0,0,0,258,0,"40,483"
GUA,Latin America and the Caribbean,Latin America,5,RBAC,Guatemala,130,0,130,0,5,0,0,0,0,0,135
GUI,Africa,West Africa,1,WA,Guinea,"21,488",0,"21,488","21,488",631,6,0,0,0,0,"22,125"
GNB,Africa,West Africa,1,WA,Guinea-Bissau,"7,884",0,"7,884","7,884",327,0,0,0,0,0,"8,211"
HAI,Latin America and the Caribbean,North America and the Caribbean,5,RBAC,Haiti,3,0,3,3,0,0,0,0,0,0,3
HON,Latin America and the Caribbean,Latin America,5,RBAC,Honduras,24,0,24,2,0,0,0,0,0,0,24
HKG,Asia,East Asia and the Pacific,2,RBAP,"Hong Kong SAR, China",103,0,103,103,"1,112",0,0,0,0,0,"1,215"
HUN,Europe,Central Europe and the Baltic States,4,RBE,Hungary,"7,750",0,"7,750","7,750","2,521",0,0,0,241,0,"10,512"
ICE,Europe,Western Europe,4,RBE,Iceland,49,0,49,0,48,0,0,0,116,0,213
IND,Asia,South Asia,2,RBAP,India,"184,543",0,"184,543","11,257","3,785",0,0,0,0,0,"188,328"
INS,Asia,East Asia and the Pacific,2,RBAP,Indonesia,369,0,369,369,353,1,0,0,0,3,726
IRQ,Asia,The Middle East,3,MENA,Iraq,"39,503",0,"39,503","39,503","2,057","25,644","2,647,251","195,890","230,000",0,"3,140,345"
IRE,Europe,Western Europe,4,RBE,Ireland,"9,730",0,"9,730",0,"4,612",0,0,0,0,0,"14,342"
IRN,Asia,South-West Asia,2,RBAP,Islamic Rep. of Iran,"980,109",0,"980,109","980,109","1,707",95,0,0,0,0,"981,911"
ISR,Asia,The Middle East,3,MENA,Israel,394,"8,743","9,137","9,137","4,631",0,0,0,0,"1,102","14,870"
ITA,Europe,Western Europe,4,RBE,Italy,"47,061",0,"47,061",0,0,0,0,0,722,0,"47,783"
JPN,Asia,East Asia and the Pacific,2,RBAP,Japan,"2,019",0,"2,019",251,"2,288",0,0,0,"1,573",0,"5,880"
JOR,Asia,The Middle East,3,MENA,Jordan,"500,413",0,"500,413","53,081",685,1,0,0,0,0,"501,099"
KAZ,Asia,Central Asia,2,RBAP,Kazakhstan,"4,352",0,"4,352",711,126,0,0,0,"7,602",0,"12,080"
KEN,Africa,East and Horn of Africa,1,EHA,Kenya,"320,605",0,"320,605","320,605","8,760",723,"404,000","346,000","100,000",0,"1,180,088"
KUW,Asia,The Middle East,3,MENA,Kuwait,238,"38,000","38,238",768,"2,648",0,0,0,"92,000",0,"132,886"
KGZ,Asia,Central Asia,2,RBAP,Kyrgyzstan,375,0,375,375,765,0,0,0,"19,943",0,"21,083"
LAO,Asia,East Asia and the Pacific,2,RBAP,Lao People's Dem. Rep.,0,0,0,0,0,0,0,0,0,0,0
LVA,Europe,Central Europe and the Baltic States,4,RBE,Latvia,32,0,32,0,36,0,0,0,"365,417",0,"365,485"
LEB,Asia,The Middle East,3,MENA,Lebanon,"50,319",100,"50,419","10,564",524,0,0,0,0,0,"50,943"
LES,Africa,Southern Africa,1,SAO,Lesotho,0,0,0,0,0,0,0,0,0,0,0
LBR,Africa,West Africa,1,WA,Liberia,"10,216",8,"10,224","10,224",36,"10,806",0,0,0,0,"21,066"
LBY,Africa,North Africa,3,MENA,Libyan Arab Jamahiriya,"6,713",0,"6,713","6,713","4,834",0,0,0,0,0,"11,547"
LIE,Europe,Western Europe,4,RBE,Liechtenstein,89,0,89,0,14,0,0,0,0,0,103
LTU,Europe,Central Europe and the Baltic States,4,RBE,Lithuania,751,0,751,0,100,0,0,0,"5,900",0,"6,751"
